external_id,entity_type,parent_external_id,epic_external_id,summary,description,priority,story_points,sprint,labels,assignee_role,module,depends_on,acceptance_criteria,validation_commands
S0-B06-ST1,subtask,S0-B06,EP-04,Assess current CSS entrypoints,Compare styles.css vs css/index.css load chain.,High,1,S0,"english-sprint,sprint-0,subtask,design-system",UI Architect,Design System,S0-B06,Subtask deliverable completed and merged.,Defined in parent story
S0-B06-ST2,subtask,S0-B06,EP-04,Publish ADR decision,Record final entrypoint decision and deprecation plan.,High,1,S0,"english-sprint,sprint-0,subtask,design-system",UI Architect,Design System,S0-B06,Subtask deliverable completed and merged.,Defined in parent story
S0-B07-ST1,subtask,S0-B07,EP-04,Update HTML stylesheet link,Point app shell to official CSS entrypoint.,High,2,S0,"english-sprint,sprint-0,subtask,design-system",UI Platform Engineer,Design System,S0-B07,Subtask deliverable completed and merged.,Defined in parent story
S0-B07-ST2,subtask,S0-B07,EP-04,Align import chain,Remove duplicate style loading and align CSS layer order.,High,2,S0,"english-sprint,sprint-0,subtask,design-system",UI Platform Engineer,Design System,S0-B07,Subtask deliverable completed and merged.,Defined in parent story
S0-B07-ST3,subtask,S0-B07,EP-04,Run visual smoke,Check desktop and mobile baseline views for regressions.,High,1,S0,"english-sprint,sprint-0,subtask,design-system",UI Platform Engineer,Design System,S0-B07,Subtask deliverable completed and merged.,Defined in parent story
S0-B08-ST1,subtask,S0-B08,EP-01,Export P0 findings list,Extract all P0 findings with file-level evidence.,High,1,S0,"english-sprint,sprint-0,subtask,curriculum-data",Learning Architect,Curriculum Data,S0-B08,Subtask deliverable completed and merged.,Defined in parent story
S0-B08-ST2,subtask,S0-B08,EP-01,Create S1-S2 batches,Group findings into implementation waves and assign owners.,High,1,S0,"english-sprint,sprint-0,subtask,curriculum-data",Learning Architect,Curriculum Data,S0-B08,Subtask deliverable completed and merged.,Defined in parent story
S0-B08-ST3,subtask,S0-B08,EP-01,Validate traceability,Ensure every finding maps to one backlog task.,High,1,S0,"english-sprint,sprint-0,subtask,curriculum-data",Program Lead,Curriculum Data,S0-B08,Subtask deliverable completed and merged.,Defined in parent story
S0-B09-ST1,subtask,S0-B09,EP-07,Draft event schema,Define required runtime events and payload fields.,High,2,S0,"english-sprint,sprint-0,subtask,observability",Frontend Core B,Observability,S0-B09,Subtask deliverable completed and merged.,Defined in parent story
S0-B09-ST2,subtask,S0-B09,EP-07,Emit events from orchestrator,Instrument orchestrator/bootstrap with schema-compliant events.,High,2,S0,"english-sprint,sprint-0,subtask,observability",Frontend Core B,Observability,S0-B09,Subtask deliverable completed and merged.,Defined in parent story
S0-B09-ST3,subtask,S0-B09,EP-07,Add payload tests,Create unit tests validating event schema.,High,1,S0,"english-sprint,sprint-0,subtask,observability",Frontend Core B,Observability,S0-B09,Subtask deliverable completed and merged.,Defined in parent story
