Issue Id,Issue Type,Summary,Description,Priority,Labels,Epic Name,Epic Link,Parent Id,Story Points,Sprint,Assignee,Components,Depends On
S0-B03-ST1,Sub-task,Draft schema v4.1,"Add schema.v4.1 with frozen enums and integrity constraints.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,governance",,EP-00,S0-B03,2,S0,Learning Architect,Governance,S0-B03
S0-B03-ST2,Sub-task,Publish contract guide,"Document data contract and compatibility strategy.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,governance",,EP-00,S0-B03,2,S0,Learning Architect,Governance,S0-B03
S0-B03-ST3,Sub-task,Run compatibility check,"Validate existing week content against v4.1 expectations.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,governance",,EP-00,S0-B03,1,S0,Frontend Architect,Governance,S0-B03
S0-B04-ST1,Sub-task,Implement CEFR integrity checks,"Detect week target vs step difficulty mismatches.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,quality-pipeline",,EP-00,S0-B04,2,S0,DevEx Engineer,Quality Pipeline,S0-B04
S0-B04-ST2,Sub-task,Implement prompt/resource checks,"Detect unresolved prompt_ref and missing locator page.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,quality-pipeline",,EP-00,S0-B04,2,S0,DevEx Engineer,Quality Pipeline,S0-B04
S0-B04-ST3,Sub-task,Emit JSON report,"Output machine-readable finding report with severity and path.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,quality-pipeline",,EP-00,S0-B04,1,S0,DevEx Engineer,Quality Pipeline,S0-B04
S0-B05-ST1,Sub-task,Add CI workflow job,"Create quality gate job in CI pipeline.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,quality-pipeline",,EP-00,S0-B05,1,S0,DevEx Engineer,Quality Pipeline,S0-B05
S0-B05-ST2,Sub-task,Enforce fail-on-p0,"Run audit with fail-on-p0 and block merge.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,quality-pipeline",,EP-00,S0-B05,1,S0,DevEx Engineer,Quality Pipeline,S0-B05
S0-B05-ST3,Sub-task,Validate branch protection,"Ensure quality job is required status check.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,quality-pipeline",,EP-00,S0-B05,1,S0,Program Lead,Quality Pipeline,S0-B05
S0-B06-ST1,Sub-task,Assess current CSS entrypoints,"Compare styles.css vs css/index.css load chain.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,design-system",,EP-04,S0-B06,1,S0,UI Architect,Design System,S0-B06
S0-B06-ST2,Sub-task,Publish ADR decision,"Record final entrypoint decision and deprecation plan.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,design-system",,EP-04,S0-B06,1,S0,UI Architect,Design System,S0-B06
S0-B07-ST1,Sub-task,Update HTML stylesheet link,"Point app shell to official CSS entrypoint.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,design-system",,EP-04,S0-B07,2,S0,UI Platform Engineer,Design System,S0-B07
S0-B07-ST2,Sub-task,Align import chain,"Remove duplicate style loading and align CSS layer order.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,design-system",,EP-04,S0-B07,2,S0,UI Platform Engineer,Design System,S0-B07
S0-B07-ST3,Sub-task,Run visual smoke,"Check desktop and mobile baseline views for regressions.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,design-system",,EP-04,S0-B07,1,S0,UI Platform Engineer,Design System,S0-B07
S0-B08-ST1,Sub-task,Export P0 findings list,"Extract all P0 findings with file-level evidence.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,curriculum-data",,EP-01,S0-B08,1,S0,Learning Architect,Curriculum Data,S0-B08
S0-B08-ST2,Sub-task,Create S1-S2 batches,"Group findings into implementation waves and assign owners.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,curriculum-data",,EP-01,S0-B08,1,S0,Learning Architect,Curriculum Data,S0-B08
S0-B08-ST3,Sub-task,Validate traceability,"Ensure every finding maps to one backlog task.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,curriculum-data",,EP-01,S0-B08,1,S0,Program Lead,Curriculum Data,S0-B08
S0-B09-ST1,Sub-task,Draft event schema,"Define required runtime events and payload fields.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,observability",,EP-07,S0-B09,2,S0,Frontend Core B,Observability,S0-B09
S0-B09-ST2,Sub-task,Emit events from orchestrator,"Instrument orchestrator/bootstrap with schema-compliant events.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,observability",,EP-07,S0-B09,2,S0,Frontend Core B,Observability,S0-B09
S0-B09-ST3,Sub-task,Add payload tests,"Create unit tests validating event schema.

Acceptance: Subtask deliverable completed and merged.
Validation: Defined in parent story",High,"english-sprint,sprint-0,subtask,observability",,EP-07,S0-B09,1,S0,Frontend Core B,Observability,S0-B09
